Issue key,Issue id,Project Manager,Assignee,Status,Priority,Team Leader,Worker,Product Impact,Epic Link,Marketing Need,Business Impact,Customer Interest
SLE-20713,490879,#N/A,mbrugger,Done,Should Have,ptesarik,mbrugger,#N/A,SLE-20712,Low,Medium,High
SLE-20710,490875,#N/A,ykaukab,Done,Could Have,ptesarik,ykaukab,#N/A,SLE-19046,#N/A,#N/A,#N/A
SLE-20694,490857,#N/A,jmoellers,Done,Must Have,BenniBrunner,jmoellers,#N/A,SLE-20638,Low,Medium,High
SLE-20684,490847,#N/A,#N/A,Done,Should Have,sfent,rmax,#N/A,SLE-20353,Low,Medium,High
SLE-20677,490839,#N/A,SchoolGuy,Planning,Could Have,#N/A,none,#N/A,SLE-20100,Low,Medium,High
SLE-20669,490826,#N/A,#N/A,Planning,Could Have,sreeves1,none,#N/A,SLE-20407,Low,Medium,High
SLE-20667,490824,#N/A,#N/A,Rejected,Could Have,sreeves1,none,#N/A,SLE-20406,Low,Medium,High
SLE-20654,490777,#N/A,pauloac,Open,Should Have,jmcdough,pauloac,Low,SLE-20043,#N/A,#N/A,#N/A
SLE-20377,489913,#N/A,joseivanlopez,In Progress,Should Have,locilka,none,Medium,SLE-18430,#N/A,#N/A,#N/A
SLE-20374,489910,#N/A,ptesarik,Open,Should Have,ptesarik,none,Low,SLE-18272,#N/A,#N/A,#N/A
SLE-20350,489725,#N/A,#N/A,Done,Should Have,sfent,trenn,Medium,SLE-20336,Low,Medium,High
SLE-20302,489544,#N/A,#N/A,Blocked,Could Have,mhocko,none,#N/A,SLE-19925,#N/A,#N/A,#N/A
SLE-20283,489517,holgisms,wagi,Open,Should Have,hreinecke,wagi,Medium,SLE-19245,#N/A,#N/A,#N/A
SLE-20281,489514,holgisms,wagi,Open,Should Have,hreinecke,wagi,Medium,SLE-19244,#N/A,#N/A,#N/A
SLE-20279,489511,#N/A,#N/A,In Progress,Could Have,matz2,none,Low,SLE-17972,#N/A,#N/A,#N/A
SLE-20277,489508,#N/A,jirislaby,Blocked,Could Have,mhocko,none,Medium,SLE-19961,#N/A,#N/A,#N/A
SLE-20273,489503,#N/A,sbradnick,In Progress,Could Have,sreeves1,none,#N/A,SLE-18799,#N/A,#N/A,#N/A
SLE-20265,489490,#N/A,jsikes,Planning,Should Have,kstreitova,jsikes,#N/A,SLE-17856,#N/A,#N/A,#N/A
SLE-20257,489481,#N/A,#N/A,Planning,Should Have,rsimai,#N/A,#N/A,SLE-17309,#N/A,#N/A,#N/A
SLE-20255,489479,#N/A,#N/A,Blocked,Should Have,locilka,#N/A,#N/A,SLE-17309,#N/A,#N/A,#N/A
SLE-20253,489476,#N/A,mcepl,Open,Should Have,kstreitova,none,Low,SLE-18038,#N/A,#N/A,#N/A
SLE-20250,489473,#N/A,#N/A,Blocked,Should Have,locilka,none,Low,SLE-18065,#N/A,#N/A,#N/A
SLE-20248,489471,#N/A,afeijoo,In Progress,Must Have,BenniBrunner,afeijoo,High,SLE-18768,#N/A,#N/A,#N/A
SLE-20246,489469,#N/A,ataschner,Done,Should Have,jgarlick,none,#N/A,SLE-19069,#N/A,#N/A,#N/A
SLE-20239,489441,#N/A,hreinecke,Under Review,Could Have,hreinecke,none,#N/A,SLE-20185,Low,Medium,High
SLE-20237,489428,#N/A,#N/A,Planning,Should Have,mhocko,none,#N/A,SLE-20078,Low,Medium,High
SLE-20235,489426,#N/A,#N/A,Rejected,Should Have,mhocko,none,Medium,SLE-20074,Low,Medium,High
SLE-20233,489424,#N/A,#N/A,Blocked,Should Have,mhocko,none,Medium,SLE-20075,Low,Medium,High
SLE-20231,489422,#N/A,#N/A,Rejected,Could Have,mhocko,none,Medium,SLE-20076,Low,Medium,High
SLE-20229,489401,#N/A,mvidner,Done,Could Have,locilka,none,Low,SLE-17782,#N/A,#N/A,#N/A
SLE-20227,489399,#N/A,sballen,Under Review,Should Have,mlatimer,none,Medium,SLE-18776,#N/A,#N/A,#N/A
SLE-20225,489397,#N/A,teclator,In Progress,Should Have,locilka,none,Medium,SLE-18784,#N/A,#N/A,#N/A
SLE-20223,489395,#N/A,#N/A,Done,Should Have,sfent,rmax,#N/A,SLE-18801,#N/A,#N/A,#N/A
SLE-20221,489393,#N/A,#N/A,In Progress,Could Have,BenniBrunner,BenniBrunner,#N/A,SLE-18818,#N/A,#N/A,#N/A
SLE-20219,489391,#N/A,teclator,Done,Could Have,locilka,none,Medium,SLE-18819,#N/A,#N/A,#N/A
SLE-20217,489389,#N/A,#N/A,Open,Could Have,locilka,none,Low,SLE-18820,#N/A,#N/A,#N/A
SLE-20215,489387,#N/A,fbui,Open,Must Have,BenniBrunner,none,High,SLE-18822,#N/A,#N/A,#N/A
SLE-20210,489380,#N/A,#N/A,Rejected,Should Have,locilka,none,#N/A,SLE-19732,#N/A,#N/A,#N/A
SLE-20208,489376,#N/A,#N/A,Planning,Must Have,pgonin,none,#N/A,SLE-19752,#N/A,#N/A,#N/A
SLE-20206,489374,#N/A,#N/A,Planning,Could Have,pgonin,none,#N/A,SLE-19758,#N/A,#N/A,#N/A
SLE-20204,489372,#N/A,#N/A,Rejected,Could Have,pgonin,none,#N/A,SLE-19759,#N/A,#N/A,#N/A
SLE-20202,489370,#N/A,#N/A,Planning,Could Have,pgonin,none,#N/A,SLE-19760,#N/A,#N/A,#N/A
SLE-20200,489368,#N/A,#N/A,Rejected,Could Have,pgonin,none,#N/A,SLE-19761,#N/A,#N/A,#N/A
SLE-20198,489366,#N/A,#N/A,Planning,Could Have,kvanderveer,none,#N/A,SLE-19763,#N/A,#N/A,#N/A
SLE-20196,489363,#N/A,npower,Planning,Should Have,jmcdough,none,Medium,SLE-17834,#N/A,#N/A,#N/A
SLE-20644,490535,holgisms,hreinecke,Planning,Should Have,hreinecke,none,Medium,SLE-19279,#N/A,#N/A,#N/A
SLE-20642,490533,holgisms,hreinecke,Blocked,Should Have,hreinecke,hreinecke,#N/A,SLE-19280,#N/A,#N/A,#N/A
SLE-20640,490531,holgisms,wagi,Open,Must Have,hreinecke,wagi,Medium,SLE-19281,#N/A,#N/A,#N/A
SLE-20630,490514,#N/A,NMoreyChaisemartin,Done,Should Have,hreinecke,NMoreyChaisemartin,Medium,SLE-20580,Low,Medium,High
SLE-20628,490512,#N/A,NMoreyChaisemartin,Done,Should Have,hreinecke,NMoreyChaisemartin,Low,SLE-20579,Low,Medium,High
SLE-20626,490510,#N/A,#N/A,Done,Could Have,hreinecke,tsbogend,Medium,SLE-20582,Low,Medium,High
SLE-20616,490500,#N/A,NMoreyChaisemartin,In Progress,Could Have,hreinecke,NMoreyChaisemartin,Low,SLE-20581,Low,Medium,High
SLE-20611,490494,holgisms,wagi,Open,Should Have,hreinecke,wagi,Medium,SLE-19278,#N/A,#N/A,#N/A
SLE-20597,490466,#N/A,scabrero,In Progress,Should Have,jmcdough,none,Low,SLE-20577,Low,Medium,High
SLE-20592,490459,#N/A,ancorgs,Done,Should Have,locilka,none,Medium,SLE-20563,Low,Medium,High
SLE-20590,490456,#N/A,goldwynr,In Progress,Could Have,goldwynr,goldwynr,Medium,SLE-18656,#N/A,#N/A,#N/A
SLE-20583,490370,#N/A,tiwai,Done,Could Have,ptesarik,tiwai,#N/A,SLE-20538,Low,Medium,High
SLE-20575,490354,#N/A,#N/A,Blocked,Could Have,locilka,none,Critical,SLE-20537,Low,Medium,High
SLE-20573,490352,#N/A,#N/A,Done,Wish to Have,kstreitova,none,Low,SLE-20276,Low,Medium,High
SLE-20571,490350,#N/A,#N/A,Blocked,Should Have,locilka,none,Medium,SLE-20535,Low,Medium,High
SLE-20569,490348,#N/A,sbrabec,Planning,Could Have,kstreitova,none,#N/A,SLE-17942,#N/A,#N/A,#N/A
SLE-20564,490343,#N/A,#N/A,Open,Could Have,locilka,none,Medium,SLE-20547,Low,Medium,High
SLE-20559,490338,#N/A,#N/A,Planning,Could Have,j_renner,none,#N/A,SLE-20534,Low,Medium,High
SLE-20557,490336,#N/A,ancorgs,Done,Could Have,locilka,ancorgs,Medium,SLE-20416,Low,Medium,High
SLE-20548,490326,#N/A,#N/A,Open,Could Have,locilka,none,Low,SLE-20413,Low,Medium,High
SLE-20543,490320,#N/A,suntorytimed,Open,Should Have,Neyleah,none,Low,SLE-20518,Low,Medium,High
SLE-20539,490315,#N/A,firstyear,Open,Should Have,jmcdough,#N/A,High,SLE-11448,#N/A,#N/A,#N/A
SLE-20521,490280,#N/A,ykaukab,Done,Could Have,ptesarik,ykaukab,#N/A,SLE-20497,Low,Medium,High
SLE-20519,490277,#N/A,ykaukab,Done,Could Have,ptesarik,ykaukab,#N/A,SLE-20498,Low,Medium,High
SLE-20516,490267,#N/A,jones_tony,In Progress,Must Have,mgorman,#N/A,#N/A,SLE-17360,#N/A,#N/A,#N/A
SLE-20499,490175,#N/A,#N/A,Open,Wish to Have,sfent,rmax,#N/A,SLE-17334,#N/A,#N/A,#N/A
SLE-20495,490171,#N/A,#N/A,Done,Could Have,sfent,trenn,Medium,SLE-20335,Low,Medium,High
SLE-20493,490168,#N/A,#N/A,Blocked,Could Have,locilka,none,Low,SLE-17269,#N/A,#N/A,#N/A
SLE-20491,490165,#N/A,#N/A,Rejected,Could Have,locilka,#N/A,Medium,SLE-17308,#N/A,#N/A,#N/A
SLE-20489,490162,#N/A,#N/A,Rejected,Could Have,locilka,#N/A,#N/A,SLE-17948,#N/A,#N/A,#N/A
SLE-20483,490156,#N/A,#N/A,Open,Should Have,j_renner,none,Low,SLE-20437,Low,Medium,High
SLE-20481,490154,#N/A,jreidinger,In Progress,Should Have,locilka,none,Low,SLE-20437,Low,Medium,High
SLE-20477,490150,#N/A,#N/A,Rejected,Should Have,locilka,none,Low,SLE-17953,#N/A,#N/A,#N/A
SLE-20475,490148,#N/A,abergmann,Under Review,Should Have,smanolov,none,#N/A,SLE-20339,Low,Medium,High
SLE-20464,490136,#N/A,tsaupe,In Progress,Should Have,BenniBrunner,none,High,SLE-20348,Low,Medium,High
SLE-20462,490131,#N/A,shundhammer,Done,Should Have,locilka,none,Low,SLE-20346,Low,Medium,High
SLE-20460,490127,#N/A,#N/A,Planning,Could Have,sfent,#N/A,#N/A,SLE-20055,Low,Medium,High
SLE-20456,490123,#N/A,fstrba,Open,Should Have,bruclik,none,Low,SLE-20308,Low,Medium,High
SLE-20453,490120,#N/A,ailiopoulos,Done,Could Have,goldwynr,none,Medium,SLE-18064,#N/A,#N/A,#N/A
SLE-20449,490116,#N/A,#N/A,In Progress,Could Have,matz2,marxin,Low,SLE-17951,#N/A,#N/A,#N/A
SLE-20447,490114,#N/A,#N/A,Planning,Could Have,mlschroe,none,#N/A,SLE-17955,#N/A,#N/A,#N/A
SLE-20423,489977,#N/A,#N/A,Done,Could Have,sfent,trenn,Medium,SLE-20403,Low,Medium,High
SLE-20421,489975,#N/A,#N/A,Done,Should Have,sfent,trenn,Low,SLE-20402,Low,Medium,High
SLE-20419,489973,#N/A,#N/A,Done,Should Have,sfent,trenn,Low,SLE-20401,Low,Medium,High
SLE-20417,489971,#N/A,#N/A,Done,Should Have,sfent,trenn,Medium,SLE-20400,Low,Medium,High
SLE-20181,489210,#N/A,#N/A,Open,Should Have,suntorytimed,none,Medium,SLE-20180,Low,Medium,High
SLE-20398,489936,#N/A,msmeissn,In Progress,Could Have,smanolov,wfrisch,#N/A,SLE-20287,Low,Medium,High
SLE-20392,489930,#N/A,alix82,Planning,Could Have,#N/A,none,#N/A,SLE-20373,Low,Medium,High
SLE-20194,489361,#N/A,#N/A,Planning,Should Have,sfent,none,#N/A,SLE-17762,#N/A,#N/A,#N/A
SLE-20192,489359,#N/A,scabrero,Done,Should Have,jmcdough,none,Low,SLE-17763,#N/A,#N/A,#N/A
SLE-20190,489356,#N/A,#N/A,Planning,Could Have,joeyli,none,#N/A,SLE-19993,#N/A,#N/A,#N/A
SLE-20188,489354,#N/A,wagi,In Progress,Must Have,hreinecke,wagi,Medium,SLE-20184,Low,Medium,High
SLE-20186,489352,#N/A,hreinecke,Under Review,Could Have,hreinecke,hreinecke,Medium,SLE-20183,Low,Medium,High
SLE-22094,495999,suntorytimed,dspinella,Done,Could Have,kstreitova,none,Low,SLE-21108,Low,Medium,High
SLE-22092,495997,suntorytimed,sbrabec,Done,Should Have,kstreitova,sbrabec,Low,SLE-21109,Low,Medium,High
SLE-22088,495993,suntorytimed,sbrabec,In Progress,Should Have,kstreitova,none,Medium,SLE-21111,Low,Medium,High
SLE-22085,495990,suntorytimed,dspinella,Rejected,Could Have,kstreitova,none,#N/A,SLE-21033,Low,Medium,High
SLE-22082,495987,suntorytimed,dspinella,Done,Could Have,kstreitova,none,Low,SLE-21034,Low,Medium,High
SLE-22079,495984,suntorytimed,dspinella,Done,Could Have,kstreitova,none,Low,SLE-21035,Low,Medium,High
SLE-22076,495981,suntorytimed,dspinella,Done,Could Have,kstreitova,none,Low,SLE-21036,Low,Medium,High
SLE-22073,495978,suntorytimed,dspinella,Open,Should Have,kstreitova,none,Medium,SLE-21037,Low,Medium,High
SLE-22069,495974,suntorytimed,#N/A,Open,Should Have,locilka,none,Medium,SLE-21042,Low,Medium,High
SLE-22066,495971,suntorytimed,dspinella,Done,Could Have,kstreitova,none,Low,SLE-21045,Low,Medium,High
SLE-22063,495968,suntorytimed,pmonrealgonzalez,Done,Could Have,kstreitova,pmonrealgonzalez,Low,SLE-21047,Low,Medium,High
SLE-22060,495965,suntorytimed,dspinella,Done,Could Have,kstreitova,none,Low,SLE-21048,Low,Medium,High
SLE-22057,495962,suntorytimed,dspinella,Open,Should Have,kstreitova,none,Low,SLE-21049,Low,Medium,High
SLE-22048,495911,Jeffreycheung,#N/A,Rejected,Could Have,bruclik,adamm,#N/A,SLE-21058,Low,Medium,High
SLE-22027,495865,suntorytimed,dspinella,Done,Could Have,kstreitova,none,Low,SLE-21050,Low,Medium,High
SLE-22023,495861,suntorytimed,dspinella,Done,Should Have,kstreitova,none,Low,SLE-21059,Low,Medium,High
SLE-22019,495857,suntorytimed,dspinella,Open,Should Have,kstreitova,none,Medium,SLE-20671,Low,Medium,High
SLE-22015,495853,suntorytimed,#N/A,Open,Could Have,locilka,none,Low,SLE-20820,Low,Medium,High
SLE-22011,495848,suntorytimed,fbui,Done,Should Have,BenniBrunner,fbui,#N/A,SLE-20926,Low,Medium,High
SLE-22007,495844,suntorytimed,#N/A,Open,Should Have,locilka,none,Medium,SLE-20928,Low,Medium,High
SLE-22003,495840,suntorytimed,pgajdos,Done,Should Have,kstreitova,pgajdos,Medium,SLE-20953,Low,Medium,High
SLE-22000,495837,suntorytimed,pgajdos,Done,Could Have,kstreitova,pgajdos,Low,SLE-20954,Low,Medium,High
SLE-21997,495834,suntorytimed,pgajdos,Done,Could Have,kstreitova,pgajdos,Low,SLE-20955,Low,Medium,High
SLE-21994,495831,suntorytimed,pgajdos,Done,Could Have,kstreitova,pgajdos,Low,SLE-20956,Low,Medium,High
SLE-21991,495828,suntorytimed,pgajdos,Done,Could Have,kstreitova,pgajdos,Low,SLE-20958,Low,Medium,High
SLE-21988,495825,suntorytimed,pgajdos,Done,Could Have,kstreitova,pgajdos,Medium,SLE-20959,Low,Medium,High
SLE-21985,495822,suntorytimed,pgajdos,Done,Could Have,kstreitova,pgajdos,Low,SLE-20960,Low,Medium,High
SLE-21982,495819,suntorytimed,jsikes,Open,Could Have,kstreitova,none,Medium,SLE-21012,Low,Medium,High
SLE-21979,495816,suntorytimed,jsikes,Done,Could Have,kstreitova,pgajdos,Medium,SLE-21013,Low,Medium,High
SLE-21976,495813,suntorytimed,jsikes,Done,Could Have,kstreitova,pgajdos,Low,SLE-21014,Low,Medium,High
SLE-21972,495809,suntorytimed,mlandres,In Progress,Should Have,j_renner,none,#N/A,SLE-21329,Low,Medium,High
SLE-21968,495805,suntorytimed,mlandres,Planning,Could Have,j_renner,none,#N/A,SLE-21333,Low,Medium,High
SLE-21965,495802,suntorytimed,sbrabec,Done,Should Have,kstreitova,sbrabec,Low,SLE-21526,Low,Medium,High
SLE-21961,495798,suntorytimed,jsikes,Open,Should Have,kstreitova,none,Medium,SLE-21527,Low,Medium,High
SLE-21959,495796,suntorytimed,#N/A,Open,Must Have,jrecord,none,#N/A,SLE-21579,Low,Medium,High
SLE-21957,495794,suntorytimed,#N/A,Planning,Could Have,kstreitova,none,#N/A,SLE-21672,Low,Medium,High
SLE-21953,495790,suntorytimed,tsaupe,In Progress,Should Have,BenniBrunner,tsaupe,Medium,SLE-21673,Low,Medium,High
SLE-21949,495786,suntorytimed,#N/A,In Progress,Should Have,#N/A,none,Medium,SLE-21674,Low,Medium,High
SLE-21946,495783,suntorytimed,tsaupe,Open,Wish to Have,BenniBrunner,tsaupe,Low,SLE-21675,Low,Medium,High
SLE-21943,495780,suntorytimed,#N/A,Done,Could Have,BenniBrunner,BenniBrunner,Low,SLE-21676,Low,Medium,High
SLE-21940,495777,suntorytimed,#N/A,Done,Could Have,BenniBrunner,BenniBrunner,Low,SLE-21677,Low,Medium,High
SLE-21937,495774,suntorytimed,jmoellers,Done,Should Have,BenniBrunner,jmoellers,Medium,SLE-21678,Low,Medium,High
SLE-21934,495771,suntorytimed,jsikes,Done,Should Have,kstreitova,pgajdos,Medium,SLE-21913,Low,Medium,High
SLE-21931,495768,suntorytimed,#N/A,Planning,Could Have,sreeves1,none,#N/A,SLE-18534,#N/A,#N/A,#N/A
SLE-21929,495766,suntorytimed,sax2,Planning,Could Have,kvanderveer,none,#N/A,SLE-20338,Low,Medium,High
SLE-21925,495762,suntorytimed,#N/A,Rejected,Should Have,locilka,none,#N/A,SLE-20552,Low,Medium,High
SLE-21915,495396,suntorytimed,mcepl,Done,Should Have,#N/A,none,#N/A,SLE-21914,Low,Medium,High
SLE-21903,495297,suntorytimed,dspinella,Done,Wish to Have,kstreitova,none,Low,SLE-21046,Low,Medium,High
SLE-22214,497292,fcrozat,#N/A,Done,Should Have,#N/A,none,#N/A,SLE-22134,Low,Medium,High
SLE-22207,497255,aherzig,#N/A,Planning,Must Have,#N/A,none,#N/A,SLE-21576,Low,Medium,High
SLE-22197,497170,aherzig,fcrozat,Planning,Must Have,#N/A,none,#N/A,SLE-22187,Low,Medium,High
SLE-22183,497100,ihno,#N/A,Done,Should Have,sfent,markkp,#N/A,SLE-21645,Low,Medium,High
SLE-22180,497089,jsrain,#N/A,Done,Should Have,locilka,#N/A,#N/A,SLE-17026,#N/A,#N/A,#N/A
SLE-22176,497075,ihno,#N/A,Done,Must Have,#N/A,none,#N/A,SLE-18632,#N/A,#N/A,#N/A
SLE-22175,497057,suntorytimed,#N/A,Planning,Should Have,BenniBrunner,none,#N/A,SLE-20535,Low,Medium,High
SLE-22174,497056,suntorytimed,#N/A,Planning,Should Have,BenniBrunner,none,#N/A,SLE-20535,Low,Medium,High
SLE-22172,496957,horon,#N/A,Blocked,Must Have,locilka,none,#N/A,SLE-21644,Low,Medium,High
SLE-22140,496663,aginies,#N/A,In Progress,Should Have,#N/A,none,#N/A,SLE-22137,Low,Medium,High
SLE-22125,496035,suntorytimed,sbrabec,Done,Should Have,kstreitova,none,Low,SLE-21113,Low,Medium,High
SLE-22122,496032,suntorytimed,pmonrealgonzalez,Done,Could Have,kstreitova,none,Low,SLE-21114,Low,Medium,High
SLE-22119,496026,suntorytimed,sbrabec,Done,Should Have,kstreitova,sbrabec,Low,SLE-21116,Low,Medium,High
SLE-22116,496022,suntorytimed,dspinella,Open,Could Have,kstreitova,none,Low,SLE-21117,Low,Medium,High
SLE-22113,496018,suntorytimed,sbrabec,Rejected,Should Have,kstreitova,none,#N/A,SLE-21100,Low,Medium,High
SLE-22297,498192,Jeffreycheung,#N/A,In Progress,Should Have,joeyli,shunghsiyu,#N/A,SLE-22170,Low,Medium,High
SLE-22110,496015,suntorytimed,dspinella,Done,Could Have,kstreitova,none,Low,SLE-21101,Low,Medium,High
SLE-22107,496012,suntorytimed,dspinella,Done,Could Have,kstreitova,none,Low,SLE-21102,Low,Medium,High
SLE-22104,496009,suntorytimed,sbrabec,Done,Could Have,kstreitova,sbrabec,Low,SLE-21106,Low,Medium,High
SLE-22103,496008,suntorytimed,#N/A,Rejected,Should Have,yfjiang,none,#N/A,SLE-21107,Low,Medium,High
SLE-22102,496007,suntorytimed,#N/A,In Progress,Should Have,Neyleah,none,#N/A,SLE-21107,Low,Medium,High
SLE-22101,496006,suntorytimed,#N/A,In Progress,Should Have,locilka,none,Low,SLE-21107,Low,Medium,High
SLE-22097,496002,suntorytimed,sbrabec,Done,Should Have,kstreitova,sbrabec,Medium,SLE-21107,Low,Medium,High
SLE-21309,492786,suntorytimed,#N/A,In Progress,Should Have,locilka,none,High,SLE-21308,Low,Medium,High
SLE-21292,492759,Jeffreycheung,duwe,Open,Could Have,ptesarik,duwe,#N/A,SLE-20906,Low,Medium,High
SLE-21290,492757,Jeffreycheung,duwe,Open,Could Have,ptesarik,duwe,#N/A,SLE-20907,Low,Medium,High
SLE-21284,492733,Jeffreycheung,duwe,Done,Could Have,ptesarik,duwe,#N/A,SLE-18956,#N/A,#N/A,#N/A
SLE-21279,492695,suntorytimed,#N/A,Planning,Should Have,#N/A,none,#N/A,SLE-20810,Low,Medium,High
SLE-21276,492685,suntorytimed,rwill,Open,Wish to Have,BenniBrunner,rwill,#N/A,SLE-20533,Low,Medium,High
SLE-21226,492575,msmeissn,jsikes,Planning,Must Have,pgonin,mosquetero,#N/A,SLE-21157,Low,Medium,High
SLE-21221,492567,katiarojas,pmonrealgonzalez,Open,Must Have,kstreitova,none,High,SLE-21126,Low,Medium,High
SLE-21219,492565,katiarojas,pmonrealgonzalez,Open,Must Have,kstreitova,none,Medium,SLE-21128,Low,Medium,High
SLE-21215,492561,katiarojas,hpjansson,Planning,Must Have,sreeves1,none,#N/A,SLE-21130,Low,Medium,High
SLE-21213,492559,katiarojas,duwe,Planning,Must Have,ptesarik,none,#N/A,SLE-21132,Low,Medium,High
SLE-21211,492557,katiarojas,jsikes,Open,Must Have,kstreitova,jsikes,Critical,SLE-21124,Low,Medium,High
SLE-21120,492178,#N/A,#N/A,Rejected,Could Have,claudiofontana,none,#N/A,SLE-19301,#N/A,#N/A,#N/A
SLE-21118,492176,#N/A,#N/A,Planning,Could Have,claudiofontana,#N/A,#N/A,SLE-19214,#N/A,#N/A,#N/A
SLE-21097,492069,#N/A,bpetkov,Done,Should Have,mhocko,#N/A,#N/A,SLE-19031,#N/A,#N/A,#N/A
SLE-21071,491983,#N/A,#N/A,Planning,Must Have,kukuk,none,#N/A,SLE-18822,#N/A,#N/A,#N/A
SLE-21070,491982,#N/A,tsaupe,Open,Must Have,BenniBrunner,none,#N/A,SLE-18822,#N/A,#N/A,#N/A
SLE-21069,491981,#N/A,michael-chang,Open,Must Have,BenniBrunner,none,#N/A,SLE-18822,#N/A,#N/A,#N/A
SLE-21066,491978,#N/A,#N/A,Rejected,Must Have,locilka,none,#N/A,SLE-18822,#N/A,#N/A,#N/A
SLE-21061,491963,#N/A,#N/A,Open,Could Have,locilka,none,Medium,SLE-20924,Low,Medium,High
SLE-21053,491928,#N/A,joeyli,In Progress,Should Have,joeyli,none,#N/A,SLE-21044,Low,Medium,High
SLE-21040,491898,#N/A,pmonrealgonzalez,Done,Could Have,kstreitova,pmonrealgonzalez,Low,SLE-16733,#N/A,#N/A,#N/A
SLE-21038,491894,#N/A,#N/A,Planning,Should Have,kukuk,lnussel,#N/A,SLE-15838,#N/A,#N/A,#N/A
SLE-21030,491859,#N/A,LPechacek,Done,Must Have,LPechacek,#N/A,High,SLE-17360,#N/A,#N/A,#N/A
SLE-21018,491747,rtsvetkov,#N/A,Done,Should Have,sfent,rmax,Medium,SLE-21017,Low,Medium,High
SLE-21010,491735,#N/A,claudiofontana,Rejected,Could Have,claudiofontana,none,#N/A,SLE-19298,#N/A,#N/A,#N/A
SLE-21008,491731,#N/A,claudiofontana,Open,Could Have,claudiofontana,dfaggioli,#N/A,SLE-19296,#N/A,#N/A,#N/A
SLE-21006,491728,#N/A,#N/A,Rejected,Could Have,ptesarik,none,#N/A,SLE-18951,#N/A,#N/A,#N/A
SLE-20998,491718,#N/A,sbradnick,Planning,Could Have,#N/A,none,#N/A,SLE-18068,#N/A,#N/A,#N/A
SLE-20977,491684,#N/A,#N/A,Rejected,Could Have,claudiofontana,#N/A,#N/A,SLE-19039,#N/A,#N/A,#N/A
SLE-20973,491680,#N/A,#N/A,Planning,Could Have,claudiofontana,none,#N/A,SLE-19297,#N/A,#N/A,#N/A
SLE-20971,491678,#N/A,jsikes,Open,Should Have,kstreitova,jsikes,#N/A,SLE-8061,Medium,#N/A,#N/A
